"Name","Alternative name"
"Frodo","Frodo,Frodo Baggins,Ring-bearer,Master,Mr. Underhill,The Halfling,Iorhael"
"Samvise","Sam,Samvise Gamgee,Samvise"
"Gandalf","Gandalf,Mithrandir,Olórin,Greyhame,Stormcrow"
"Sauron","Sauron,Gorthaur,Necromancer,the Abhorred Dread,Nameless Enemy,Lord of Mordor"
"Bilbo","Bilbo,Bilbo Baggings ,Burglar"
"Gollum","Gollum,Sméagol,Trahald"
"Saruman","Saruman,Curumo,Curunír,the White,Sharkey"
"Peregrin","Pippin,Peregrin Took,Peregrin"
"Meriadoc","Merry,Meriadoc Brandybuck,Meriadoc"
"Aragorn","Aragorn,Aragorn II,Elessar,Strider,Thorongil"
"Boromir","Boromir,Captain of the White Tower"
"Legolas","Legolas,Greenleaf"
"Gimli","Gimli,Lockbearer"
"Elrond","Elrond"
"Bombadil","Bombadil"
"Galadriel","Altáriel, Artanis, Nerwen"
